authors,hrefs
"Zheng, Liang and Zhang, Hengheng and Sun, Shaoyan and Chandraker, Manmohan and Yang, Yi and Tian, Qi",content_cvpr_2017/papers/Zheng_Person_Re-Identification_in_CVPR_2017_paper.pdf
"Jie, Zequn and Wei, Yunchao and Jin, Xiaojie and Feng, Jiashi and Liu, Wei",content_cvpr_2017/papers/Jie_Deep_Self-Taught_Learning_CVPR_2017_paper.pdf
"Slavcheva, Miroslava and Baust, Maximilian and Cremers, Daniel and Ilic, Slobodan",content_cvpr_2017/papers/Slavcheva_KillingFusion_Non-Rigid_3D_CVPR_2017_paper.pdf
"Mueller, Matthias and Smith, Neil and Ghanem, Bernard",content_cvpr_2017/papers/Mueller_Context-Aware_Correlation_Filter_CVPR_2017_paper.pdf
"Tran, Luan and Liu, Xiaoming and Zhou, Jiayu and Jin, Rong",content_cvpr_2017/papers/Tran_Missing_Modalities_Imputation_CVPR_2017_paper.pdf
"Tran, Luan and Yin, Xi and Liu, Xiaoming",content_cvpr_2017/papers/Tran_Disentangled_Representation_Learning_CVPR_2017_paper.pdf
"Liu, Li and Shao, Ling and Shen, Fumin and Yu, Mengyang",content_cvpr_2017/papers/Liu_Discretely_Coding_Semantic_CVPR_2017_paper.pdf
"Pascoe, Geoffrey and Maddern, Will and Tanner, Michael and Pinies, Pedro and Newman, Paul",content_cvpr_2017/papers/Pascoe_NID-SLAM_Robust_Monocular_CVPR_2017_paper.pdf
"Isack, Hossam and Veksler, Olga and Oguz, Ipek and Sonka, Milan and Boykov, Yuri",content_cvpr_2017/papers/Isack_Efficient_Optimization_for_CVPR_2017_paper.pdf
"Caba Heilbron, Fabian and Barrios, Wayner and Escorcia, Victor and Ghanem, Bernard",content_cvpr_2017/papers/Heilbron_SCC_Semantic_Context_CVPR_2017_paper.pdf
"Zhu, Yan and Tian, Yuandong and Metaxas, Dimitris and Dollar, Piotr",content_cvpr_2017/papers/Zhu_Semantic_Amodal_Segmentation_CVPR_2017_paper.pdf
"Kong, Yu and Tao, Zhiqiang and Fu, Yun",content_cvpr_2017/papers/Kong_Deep_Sequential_Context_CVPR_2017_paper.pdf
